frame,[L] 0X,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,[R] 0x,0y.1,1x.1,1y.1,2x.1,2y.1,3x.1,3y.1,4x.1,4y.1,5x.1,5y.1,6x.1,6y.1,7x.1,7y.1,8x.1,8y.1,9x.1,9y.1,10x.1,10y.1,11x.1,11y.1,12x.1,12y.1,13x.1,13y.1,14x.1,14y.1,15x.1,15y.1,16x.1,16y.1,17x.1,17y.1,18x.1,18y.1,19x.1,19y.1,20x.1,20y.1
1,0.49734813,0.705882192,0.500841439,0.688824713,0.503054857,0.689210415,0.502843857,0.699817598,0.501944602,0.712178349,0.495067805,0.703817666,0.506144226,0.721600175,0.516346812,0.732187033,0.521562576,0.738561749,0.489842534,0.7247563,0.501979828,0.742665887,0.513394177,0.752171934,0.523042619,0.753571749,0.485845119,0.741362095,0.496729374,0.754928172,0.509706736,0.759960175,0.518748641,0.760800838,0.482304513,0.754547834,0.488669366,0.76622808,0.498490483,0.765118718,0.506038725,0.760735869,0.466590613,0.703384101,0.482198685,0.685977638,0.497068346,0.687029362,0.509447157,0.693919361,0.518718481,0.700106859,0.496119082,0.726062059,0.516396165,0.748446405,0.524111629,0.747159004,0.526243567,0.7427634,0.489307463,0.742863655,0.510900497,0.762803078,0.519850314,0.759389222,0.522504032,0.752856791,0.483811527,0.751897097,0.501679182,0.770170331,0.511022568,0.767873406,0.514667749,0.761525869,0.479856431,0.755162358,0.494255543,0.771136522,0.501993835,0.770902991,0.505131423,0.765634239
2,0.486152738,0.706252217,0.490362227,0.68903029,0.500566661,0.688067675,0.512236476,0.695563555,0.520657957,0.704228461,0.491522998,0.702397227,0.509168327,0.718653262,0.519803882,0.728882015,0.527090609,0.736880898,0.486537218,0.724164665,0.505994737,0.741366088,0.518186331,0.752491236,0.526549637,0.756278992,0.484268069,0.742434919,0.500365555,0.757998109,0.511661828,0.76267761,0.519233048,0.761853516,0.483816892,0.75650233,0.493683636,0.770962238,0.500961959,0.77170217,0.506893158,0.769571304,0.465219945,0.697888315,0.481629908,0.684043527,0.49542883,0.685161531,0.507075191,0.692679703,0.51768291,0.699596584,0.492837429,0.7204265,0.511840165,0.740768909,0.520783484,0.744198322,0.526316643,0.744656086,0.487038642,0.737771392,0.507726848,0.756550252,0.51777935,0.758067369,0.523596644,0.755751491,0.482590467,0.747490764,0.500932038,0.766291976,0.511022627,0.768618762,0.517040908,0.766458809,0.479225934,0.75160861,0.493066132,0.767624736,0.501605451,0.770247519,0.507472277,0.769150853
3,0.51072216,0.705488205,0.510391474,0.689299464,0.508590639,0.691280961,0.50476712,0.705973804,0.501734495,0.720715523,0.493866652,0.710272729,0.504565656,0.729717433,0.516155362,0.73620522,0.522767723,0.739540517,0.487739116,0.730357289,0.500663877,0.746830761,0.513059556,0.753072619,0.522536159,0.754238486,0.484719336,0.744979382,0.494859844,0.757520556,0.50758189,0.75997591,0.516289294,0.759981334,0.48368758,0.756233037,0.484778732,0.766894758,0.491068125,0.765615582,0.496919215,0.762847126,0.465270698,0.697546959,0.481223196,0.685961723,0.494844586,0.685857952,0.506823659,0.692646682,0.517024338,0.699455321,0.493177533,0.720229745,0.510642588,0.738348722,0.519178271,0.743356228,0.524908543,0.745699048,0.487751067,0.736938179,0.507526994,0.753883421,0.517340541,0.757118404,0.523579597,0.756282568,0.483160973,0.746693969,0.501139224,0.764483333,0.510635138,0.768254757,0.516874909,0.767372191,0.479472816,0.751208186,0.492667973,0.767426252,0.500555277,0.770789802,0.506588399,0.769928277
4,0.495703787,0.719470263,0.499719083,0.698168874,0.504033506,0.690297902,0.51030165,0.697856367,0.515431941,0.708899498,0.49273321,0.708585083,0.506280065,0.72154206,0.516033351,0.730854928,0.521699429,0.736455619,0.487571925,0.729818463,0.503161669,0.744550943,0.516150177,0.753518224,0.525669932,0.754230261,0.485653579,0.74741739,0.499616683,0.757943213,0.511823893,0.761934698,0.520382404,0.75981915,0.485652447,0.76083684,0.493648678,0.769102275,0.502256513,0.768102288,0.509360135,0.762685597,0.466026604,0.697431147,0.481522202,0.686172545,0.494941503,0.686143875,0.507029355,0.693168402,0.517591536,0.700160146,0.492863089,0.719662309,0.510499358,0.737578034,0.519221663,0.742884576,0.524879158,0.745236456,0.487733305,0.736535668,0.507789791,0.753281772,0.517810583,0.756658673,0.523966134,0.756014526,0.483426422,0.746826351,0.50190109,0.764302075,0.511471152,0.767679513,0.517709494,0.766774178,0.480211943,0.751843989,0.493698418,0.767870009,0.501701832,0.770830333,0.507974923,0.769924998
5,0.498096019,0.722144723,0.501871586,0.702118635,0.504933596,0.696762323,0.50915277,0.705472827,0.512163699,0.716979802,0.494768202,0.709272265,0.506824315,0.720196128,0.516162634,0.73039633,0.52162987,0.738002717,0.489655793,0.729272604,0.503794909,0.744018793,0.516155481,0.754079282,0.525570333,0.757145226,0.487815499,0.746400416,0.500558734,0.756780803,0.511720061,0.761073112,0.519856215,0.760853767,0.487674266,0.760373652,0.49424386,0.767812014,0.501734972,0.765957534,0.508203506,0.761298597,0.466531426,0.698354959,0.481274664,0.686227798,0.494508028,0.68552202,0.506372154,0.692229331,0.516565025,0.699404657,0.492854834,0.719751835,0.510214031,0.737645388,0.518995464,0.743035793,0.524849713,0.745463908,0.487814248,0.736698389,0.507852256,0.753380179,0.517966866,0.75672847,0.524291813,0.756193519,0.48356694,0.747199535,0.50197196,0.764595211,0.51169765,0.768080056,0.518131256,0.767303646,0.480390966,0.752423286,0.493787676,0.768500507,0.501875639,0.77152133,0.508307695,0.770823956
6,0.50040853,0.701719046,0.501265645,0.686224222,0.502408981,0.68801266,0.501446724,0.700186014,0.50052923,0.712813914,0.493759394,0.707671642,0.505563915,0.728291392,0.516018808,0.736725569,0.521664679,0.741145134,0.488637179,0.727410913,0.502187729,0.744972467,0.514126658,0.754183054,0.522889137,0.756002247,0.485606283,0.741626501,0.496426553,0.754393935,0.508832932,0.760202944,0.516674757,0.761292756,0.48337993,0.75285691,0.486475468,0.764578104,0.494379669,0.766191304,0.500856817,0.763403177,0.466458082,0.69865799,0.481321752,0.686418235,0.494514823,0.685562015,0.506341219,0.692026973,0.516619861,0.699083328,0.492509663,0.719230771,0.509920537,0.736816645,0.518762708,0.742538095,0.524824917,0.745602131,0.487442881,0.736109495,0.507541597,0.752430439,0.517673135,0.756022751,0.524125576,0.755781651,0.483219504,0.7466681,0.501642942,0.763676882,0.511443138,0.767419279,0.517938554,0.766941845,0.480053067,0.752055943,0.493417442,0.768210292,0.501553416,0.771600127,0.508068621,0.771098912
7,0.488580376,0.70525068,0.493192941,0.690233886,0.501888275,0.689953446,0.511793017,0.698036075,0.517922044,0.706191719,0.492579699,0.707944214,0.509934068,0.72494936,0.520466447,0.735375106,0.527866066,0.743255794,0.486960143,0.726887703,0.505917192,0.743335485,0.519127131,0.752860129,0.528751731,0.756099641,0.484546453,0.742020249,0.500486791,0.757149994,0.512584627,0.762252331,0.521222591,0.76257211,0.484241128,0.754012585,0.493746012,0.769610226,0.501919389,0.771007776,0.50920558,0.769481897,0.466898203,0.699293375,0.481477469,0.686870754,0.494780272,0.685887992,0.506704569,0.692510426,0.517082393,0.699752331,0.492556602,0.719637096,0.509918928,0.737082422,0.518883407,0.742717087,0.525001884,0.745422542,0.487488568,0.736596107,0.507681906,0.752810776,0.518026173,0.756482899,0.524523556,0.756139696,0.483267725,0.747084677,0.501799822,0.764092505,0.511737525,0.76774621,0.518284142,0.766970932,0.480081707,0.752352417,0.493525207,0.768309176,0.501715362,0.771697044,0.508273721,0.771119416
8,0.504668832,0.704060435,0.506880045,0.687600732,0.507948518,0.686595023,0.506520331,0.695488334,0.505484998,0.705865204,0.495925188,0.707381308,0.506708562,0.728031337,0.517122567,0.735908628,0.522839844,0.739722788,0.489773214,0.728022277,0.501898944,0.745250881,0.513552368,0.75394702,0.522740006,0.755693138,0.486002982,0.74270016,0.495368421,0.754657149,0.507714331,0.759930611,0.516011178,0.761210203,0.483352005,0.754106522,0.485160261,0.765439808,0.492402971,0.766225517,0.498663574,0.763741791,0.466808021,0.699320376,0.481288731,0.686456919,0.494642079,0.685477495,0.506577969,0.692095637,0.516982317,0.699086785,0.492984205,0.719125867,0.510164559,0.736473382,0.519107819,0.742403448,0.525360823,0.74544692,0.487856358,0.735944748,0.507714927,0.752164006,0.517943203,0.756057084,0.524461329,0.755890727,0.483478814,0.746573806,0.501721382,0.763669789,0.511597216,0.767563105,0.5181306,0.766942024,0.480025291,0.752068043,0.493419051,0.768295407,0.501570821,0.771910906,0.508116007,0.771575809
9,0.494774044,0.705615342,0.497237116,0.692692637,0.503026247,0.69528693,0.509759068,0.708651721,0.512089908,0.721604586,0.493440628,0.712482572,0.508769274,0.730392158,0.519999802,0.740405917,0.527455091,0.746907711,0.488756835,0.729700744,0.505573988,0.745770872,0.51873517,0.756138027,0.528079152,0.759922147,0.486733556,0.743583679,0.500349402,0.756438553,0.512093067,0.76183778,0.519980133,0.76269269,0.486350983,0.754971981,0.492656827,0.766171455,0.500566006,0.766055107,0.507360876,0.762962759,0.467057794,0.698903859,0.481487811,0.686465323,0.494642168,0.685831845,0.506481826,0.692639351,0.517023027,0.699492276,0.493180811,0.720000744,0.510187268,0.736820579,0.519129932,0.7426579,0.525329947,0.745655119,0.488138169,0.736320615,0.507747948,0.752123177,0.517903268,0.756267428,0.524379492,0.756513238,0.483718157,0.746443272,0.501678586,0.763427436,0.511500597,0.767541766,0.51806277,0.767001212,0.48014003,0.751706958,0.493363976,0.767838717,0.501432061,0.771627903,0.507964849,0.771468282
10,0.494087249,0.704274714,0.498751074,0.686602652,0.504466832,0.685695589,0.507638097,0.694865286,0.509351909,0.703437865,0.494162351,0.704933047,0.505644917,0.724271774,0.515957355,0.732842505,0.521716893,0.737262547,0.488448292,0.725188196,0.501569629,0.743197083,0.513284922,0.752161086,0.522564948,0.754056334,0.484331459,0.74015981,0.495180279,0.753647983,0.50755465,0.759685993,0.515659332,0.761156619,0.48113662,0.751977563,0.484545887,0.764158547,0.491565257,0.766578615,0.497203112,0.7651878,0.467220992,0.699221015,0.481680304,0.686694324,0.494693398,0.685649991,0.506439805,0.692210615,0.516834319,0.699313045,0.493217796,0.719859064,0.510282338,0.736730695,0.519244075,0.742586255,0.525435805,0.745516777,0.488186717,0.73622328,0.507889569,0.751963198,0.518128574,0.755991936,0.524677157,0.756059587,0.483767629,0.746446371,0.501783252,0.763423622,0.511679113,0.767498732,0.518302083,0.766924322,0.480213463,0.751768529,0.493381709,0.768058717,0.501461208,0.771920562,0.508044541,0.771726489
