frame,[L] 0X,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,[R] 0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y
35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.46608448,0.654689431,0.480869442,0.63787365,0.493752897,0.639207244,0.503518641,0.646391571,0.512435019,0.649899602,0.493709654,0.663967729,0.508351684,0.684706986,0.516291201,0.696654916,0.521994352,0.706098318,0.489310861,0.680166781,0.504571497,0.702336013,0.513161182,0.714998662,0.518805504,0.72332418,0.484404892,0.693061173,0.498010665,0.715273917,0.505660892,0.72624433,0.510042906,0.73289603,0.479075611,0.704001069,0.490836918,0.722527385,0.497208685,0.729929566,0.501296818,0.732459605
36,0.551772237,0.591744244,0.531085193,0.596141577,0.518126011,0.614112318,0.510062873,0.630856037,0.506686926,0.642682612,0.513118982,0.634859741,0.503388345,0.668423116,0.500612557,0.686092019,0.499854565,0.696543097,0.519550204,0.643522561,0.509929299,0.683376729,0.506056964,0.703293324,0.503810406,0.714684665,0.527498662,0.650349617,0.518382192,0.687447131,0.513231754,0.706540167,0.509318829,0.717236936,0.535892367,0.654138029,0.52872932,0.683501244,0.524564326,0.699237883,0.52075994,0.710809886,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
37,0.560187161,0.5491032,0.538710475,0.552830994,0.524045765,0.575728059,0.516638994,0.598541141,0.513796687,0.618843913,0.520573616,0.589476049,0.51015681,0.630937815,0.508644283,0.650502324,0.508090377,0.660073817,0.526908994,0.598418772,0.516708314,0.644480705,0.514113188,0.665691197,0.512653172,0.675562739,0.534764707,0.605673075,0.524681926,0.64722544,0.520931542,0.666392922,0.518728852,0.674872041,0.542962015,0.610533655,0.535372853,0.64327848,0.531788528,0.658453643,0.529037237,0.667448103,0.456290811,0.580924153,0.469678313,0.611448646,0.484414637,0.627157867,0.494727939,0.631198764,0.501935065,0.636629641,0.498614848,0.617144525,0.515191853,0.633019209,0.519784987,0.650002897,0.521111906,0.665104508,0.498351008,0.601543188,0.515105665,0.621805608,0.519540668,0.640710235,0.520301282,0.655642748,0.495836079,0.585923314,0.511566699,0.602512479,0.514826238,0.621745825,0.513238549,0.636599541,0.4911713,0.569248497,0.504391491,0.571140587,0.507139921,0.582691789,0.505402148,0.592778921
38,0.565756738,0.502147377,0.547239602,0.500121593,0.531713724,0.517571449,0.52309674,0.538019836,0.518119335,0.555886567,0.528032839,0.526492238,0.516140699,0.562521279,0.51239717,0.582965076,0.510677934,0.595871508,0.535065234,0.53572768,0.523052752,0.577462316,0.518283427,0.598495901,0.516146123,0.608983874,0.543147147,0.544161618,0.531335473,0.582480729,0.525815725,0.601084828,0.522842586,0.610013962,0.55110991,0.550724626,0.541849673,0.580294788,0.537552834,0.594834745,0.533976376,0.602687001,0.445683837,0.518499434,0.459382892,0.498922646,0.476576895,0.4924573,0.49005875,0.490562081,0.49659875,0.491444945,0.486664802,0.505523026,0.501352847,0.521419942,0.496595442,0.520450592,0.491451442,0.51577127,0.485050529,0.522434473,0.497534364,0.541290939,0.491245121,0.537730515,0.485091478,0.531741023,0.48048988,0.537856758,0.491096407,0.55508393,0.485226959,0.549737096,0.479580849,0.543437302,0.474244446,0.551137745,0.48326239,0.565162122,0.479579955,0.559763491,0.474776626,0.553390741
39,0.574301362,0.452974737,0.556828439,0.438354164,0.541475296,0.44171375,0.531251073,0.45332998,0.52721554,0.462354094,0.532337904,0.466309339,0.520874381,0.493921161,0.521838784,0.500797033,0.525695801,0.49992606,0.536763549,0.478279531,0.525677443,0.508380353,0.526040852,0.514755726,0.528307557,0.514270186,0.542690516,0.487598747,0.532945693,0.515103161,0.533473432,0.518572211,0.535120726,0.515276134,0.550276756,0.493966669,0.543044209,0.517374396,0.542694986,0.521188021,0.543528736,0.518116117,0.435536921,0.46412006,0.452788591,0.444302201,0.466812581,0.430837512,0.476122469,0.42779991,0.481800437,0.429037154,0.464989275,0.42006886,0.47942546,0.419603974,0.481975317,0.424888641,0.481096745,0.427138537,0.459714383,0.430960029,0.474411458,0.434866041,0.475759238,0.440061241,0.473922312,0.44292441,0.454554796,0.446007907,0.467556,0.452927232,0.46811527,0.45787856,0.466086715,0.460762322,0.44959417,0.463350594,0.459276259,0.468540132,0.460324347,0.471079022,0.458990425,0.472146213
40,0.586222291,0.401006699,0.570682883,0.378478825,0.55591017,0.374016434,0.545710385,0.386781365,0.541996181,0.404374689,0.548914552,0.365446985,0.533672392,0.389539093,0.536070824,0.402023792,0.540903807,0.401848406,0.551845312,0.378678739,0.538401246,0.408495098,0.541397214,0.416560382,0.545684934,0.413029522,0.556194723,0.394583285,0.544545591,0.423202604,0.548273861,0.425640106,0.553094685,0.418640673,0.561800718,0.410487831,0.5518592,0.430702955,0.554998457,0.430868864,0.559283793,0.424635738,0.4349823,0.406419337,0.453009367,0.399209589,0.465746433,0.382457495,0.472765952,0.367982119,0.476506919,0.359741926,0.4659293,0.359465927,0.473915011,0.335499048,0.473885238,0.34521699,0.472115964,0.355110645,0.457344443,0.356207639,0.464120716,0.335178018,0.464069963,0.347780704,0.462558508,0.35920772,0.448379725,0.357990503,0.454984337,0.341165245,0.455826968,0.352012426,0.454401791,0.363072097,0.439877629,0.362330288,0.445081085,0.349415094,0.446663022,0.357622504,0.446062148,0.367082149
41,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.429516852,0.361784786,0.444944561,0.347382218,0.456202626,0.327092886,0.463753104,0.313004881,0.470314831,0.300882995,0.443682432,0.295665979,0.445235223,0.271530151,0.446993351,0.257437587,0.448231906,0.246773645,0.437434942,0.299108535,0.438656986,0.275406092,0.441691816,0.263747096,0.443940878,0.254974544,0.433003545,0.305956334,0.434907228,0.285756379,0.438881397,0.277953386,0.441938609,0.273710877,0.430056661,0.315810084,0.431052744,0.301169455,0.433411419,0.293350369,0.435083866,0.289051473
42,0.587484896,0.330061138,0.572228849,0.314199865,0.56226939,0.293382168,0.556325078,0.279690355,0.550086319,0.269915402,0.565681159,0.255512834,0.55953902,0.226036221,0.553038418,0.218282476,0.549666762,0.217012316,0.572336376,0.255768031,0.564727604,0.224937111,0.558315694,0.2248265,0.555520356,0.228679314,0.578579724,0.261884332,0.572602391,0.23458986,0.566501379,0.234187946,0.563753724,0.236141205,0.585222125,0.272882223,0.580621719,0.251501054,0.575704753,0.251304358,0.573108554,0.252436429,0.425193995,0.347613543,0.440461546,0.322743803,0.450372308,0.302425146,0.457006842,0.288510025,0.462633163,0.275813967,0.440602899,0.286925644,0.442460239,0.268671155,0.443571955,0.248121411,0.444714814,0.230160475,0.43426168,0.289269447,0.434535235,0.267495662,0.436424702,0.241855502,0.436872244,0.220409185,0.428555608,0.295119137,0.429567635,0.273248553,0.432434797,0.248633295,0.433739096,0.230385408,0.424514353,0.302593023,0.426286161,0.283368707,0.428288937,0.264623225,0.429276288,0.247695178
43,0.58993113,0.295369625,0.574850082,0.281045318,0.564039707,0.259732723,0.557690322,0.24279128,0.551295877,0.227593437,0.570793569,0.2268617,0.567820013,0.192988202,0.565644979,0.181084871,0.564911723,0.173826128,0.577787936,0.226080433,0.574777663,0.190735966,0.572805047,0.177772701,0.571903706,0.171172351,0.584228456,0.230484575,0.582706392,0.198485345,0.580825925,0.186356634,0.578872502,0.178533122,0.590878487,0.239355788,0.590354681,0.216282278,0.588940501,0.205243051,0.587514222,0.196431562,0.420834601,0.286097288,0.43710503,0.266077608,0.447813869,0.242529184,0.455711931,0.226860195,0.461977303,0.218149334,0.435875982,0.204696208,0.435492694,0.175787866,0.435531259,0.158763766,0.435387522,0.143945217,0.430067182,0.205489352,0.429429084,0.173534125,0.430098593,0.154762551,0.430311322,0.138113543,0.424860656,0.210806549,0.423730969,0.181964517,0.424677849,0.164854392,0.42567569,0.149280787,0.419940084,0.220600814,0.418027639,0.198796749,0.418654859,0.184566647,0.419696748,0.170562506
44,0.588457465,0.267027617,0.575015545,0.252446532,0.564866722,0.228781432,0.557953238,0.209719405,0.549975693,0.198834985,0.572840512,0.193872511,0.56983465,0.164904252,0.568592966,0.150036409,0.568137646,0.136264712,0.579560161,0.19260034,0.577350676,0.158983335,0.57606262,0.141343772,0.575340092,0.126579642,0.585642993,0.196423203,0.585066795,0.164568752,0.584234953,0.147939563,0.582803905,0.133155853,0.591890156,0.205579251,0.592911065,0.18344973,0.592914939,0.170314208,0.592152834,0.157372534,0.418622941,0.26993978,0.43408674,0.241942689,0.445110738,0.219439775,0.453505009,0.204949051,0.462339461,0.195815146,0.434646696,0.1859736,0.434779942,0.160581931,0.43452853,0.142171085,0.434139103,0.122982234,0.428289711,0.186289415,0.42941007,0.157907486,0.430301666,0.136064351,0.429228544,0.11685311,0.422865242,0.190586254,0.422828078,0.161602363,0.424042255,0.140808538,0.424224675,0.124128498,0.418260276,0.197562754,0.418168426,0.173637599,0.418628246,0.157219589,0.418490112,0.142295271
